animal_tag,timestamp,window_size_sec,depth_min_threshold_meters,depth_max_threshold_meters,acc_random_rot_added,acc_random_var_added,acc_sim_8_bit,acc_mag_mean,acc_mag_1c,acc_mag_mc,acc_mag_var,acc_mag_energy,acc_mag_kurtosis,acc_mag_crest,acc_mag_RMS,acc_X_mean,acc_X_1c,acc_X_mc,acc_X_var,acc_X_energy,acc_X_kurtosis,acc_X_crest,acc_X_RMS,acc_Y_mean,acc_Y_1c,acc_Y_mc,acc_Y_var,acc_Y_energy,acc_Y_kurtosis,acc_Y_crest,acc_Y_RMS,acc_Z_mean,acc_Z_1c,acc_Z_mc,acc_Z_var,acc_Z_energy,acc_Z_kurtosis,acc_Z_crest,acc_Z_RMS,label
C5,2019-08-21T21:08:54.000Z,1,0,0,0,0,1,0.98130989074707,2,2,0.00564383482560515,0.968430876731873,1.64165794849396,0.105284884572029,0.984088838100433,-0.0604857169091702,0,2,0.000126015758723952,0.00378047255799174,29.033332824707,0.508265018463135,0.0614855475723743,-0.201619058847427,0,5,0.00174741819500923,0.0423412956297398,2.24214267730713,0.303746461868286,0.205770000815392,0.957690536975861,2,2,0.0053094644099474,0.922309160232544,1.62907636165619,0.0976216793060303,0.960369288921356,other
C5,2019-08-21T21:08:55.000Z,1,0,0,0,0,1,0.942331075668335,3,3,0.00512495078146458,0.892947614192963,1.49880886077881,0.102424390614033,0.944959044456482,-0.0766152441501617,0,5,0.0022682836279273,0.00806500855833292,1.86432087421417,0.69597053527832,0.089805394411087,-0.18145714700222,0,6,0.00139457418117672,0.0342762842774391,2.82403063774109,0.33759531378746,0.185138553380966,0.919382870197296,3,3,0.00551948882639408,0.850606203079224,1.49833190441132,0.101653009653091,0.922283172607422,other
C5,2019-08-21T21:08:56.000Z,1,0,0,0,0,1,0.815234482288361,0,3,0.00481794867664576,0.669269740581512,3.44989061355591,0.156839355826378,0.818089067935944,-0.0806476250290871,0,3,0.000831703946460038,0.00730891386047006,1.85353481769562,0.365541636943817,0.0854921862483025,-0.165327623486519,0,5,0.00222627818584442,0.0294876862317324,2.46699190139771,0.545964241027832,0.171719789505005,0.792362868785858,0,3,0.00478859851136804,0.632472991943359,3.34454870223999,0.157181799411774,0.795281708240509,other
C5,2019-08-21T21:08:57.000Z,1,0,0,0,0,1,1.04910314083099,2,4,0.0101606901735067,1.11045074462891,1.8600389957428,0.15841606259346,1.05377924442291,-0.0806476250290871,0,5,0.000831703946460038,0.00730891386047006,1.85353541374207,0.365541636943817,0.0854921862483025,-0.185489535331726,0,2,0.00273034139536321,0.0370486304163933,1.48087537288666,0.324718624353409,0.192480206489563,1.02825713157654,2,4,0.00907313916832209,1.06609296798706,1.87173497676849,0.15133373439312,1.03251779079437,other
C5,2019-08-21T21:08:58.000Z,1,0,0,0,0,1,0.886103391647339,3,3,0.0312773585319519,0.815447926521301,2.13527965545654,0.310944527387619,0.903021574020386,-0.0604857169091702,0,2,0.000126015758723952,0.00378047255799174,29.0333309173584,0.508265018463135,0.0614855475723743,-0.183473333716393,0,7,0.00154579314403236,0.0351583957672119,2.59183049201965,0.333333343267441,0.187505722045898,0.862929582595825,3,3,0.0329237170517445,0.776508927345276,1.97705066204071,0.319177716970444,0.881197452545166,other
C5,2019-08-21T21:08:59.000Z,1,0,0,0,0,1,1.03798580169678,3,7,0.0211160182952881,1.09784936904907,2.33313417434692,0.255777537822723,1.04778301715851,-0.0584695264697075,0,4,0.0109213646501303,0.0139877488836646,2.73813724517822,1.58540642261505,0.118269816040993,-0.266137152910233,0,9,0.0335873998701572,0.103332921862602,4.17581224441528,1.45826077461243,0.321454375982285,0.981884777545929,5,5,0.0169785209000111,0.98052841424942,2.11305499076843,0.22091805934906,0.990216374397278,other
C5,2019-08-21T21:09:00.000Z,1,0,0,0,0,1,0.968982934951782,6,6,0.00782902259379625,0.946504235267639,1.93565130233765,0.157478645443916,0.972884476184845,-0.114922858774662,0,4,0.00393169187009335,0.0170121267437935,3.00230169296265,0.958393692970276,0.130430549383163,-0.270169526338577,0,3,0.0115598430857062,0.0841785222291946,3.6911506652832,0.646269798278809,0.290135353803635,0.915350496768951,4,4,0.00769536895677447,0.845313608646393,1.80582451820374,0.13596099615097,0.919409394264221,other
C5,2019-08-21T21:09:01.000Z,1,0,0,0,0,1,1.01290667057037,3,2,0.0151465339586139,1.04063820838928,2.59405827522278,0.208565235137939,1.02011680603027,-0.0403238125145435,0,4,0.00196584570221603,0.00352844106964767,2.68639016151428,1.57831287384033,0.0594006814062595,-0.2036352455616,0,2,0.0111902002245188,0.0522965379059315,1.88130712509155,0.819932401180267,0.228684365749359,0.985917210578918,3,3,0.0132064530625939,0.98481297492981,2.59873914718628,0.188945963978767,0.992377460002899,other
C5,2019-08-21T21:09:02.000Z,1,0,0,0,0,1,0.861456215381622,0,3,0.00533895986154675,0.747273325920105,1.69426739215851,0.119936138391495,0.864449739456177,-0.0766152441501617,0,2,0.00435174396261573,0.0100812604650855,1.63444948196411,0.933742523193359,0.100405476987362,-0.145165726542473,0,2,0.00817422103136778,0.0289836246520281,2.77729463577271,0.9178187251091,0.170245781540871,0.838735282421112,0,3,0.00488941185176373,0.708208382129669,1.65571081638336,0.111404821276665,0.841551184654236,other
C5,2019-08-21T21:09:03.000Z,1,0,0,0,0,1,0.85891979932785,3,3,0.01492640376091,0.752187788486481,3.46804976463318,0.260735303163528,0.867287576198578,-0.0806476250290871,0,2,0.00239429902285337,0.0088211027905345,2.80326890945435,0.99821275472641,0.0939207226037979,-0.165327623486519,0,4,0.00222627818584442,0.0294876862317324,4.27335739135742,0.545964241027832,0.171719789505005,0.83671909570694,3,3,0.0142397796735168,0.7138791680336,3.28625059127808,0.258910089731216,0.844913721084595,other
